,index,MasterIndex,DBN,SCHNAM,Latitude,Longitude,Borough
416,502,2668,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY & LAW,Missing,Missing,Brooklyn
417,503,2702,24Q457,H.S. ARTS & BUSINESS YABC,Missing,Missing,Queens
418,504,2726,25Q168,JHS 168 THE PARSONS,Missing,Missing,Queens
419,505,2808,27Q225,P.S. 225 SEASIDE,Missing,Missing,Queens
420,506,2815,27Q279,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,Missing,Missing,Queens
421,507,2819,27Q481,LEARNING TO WORK GED AT JOHN ADAMS HIGH SCHOOL,Missing,Missing,Queens
422,508,2890,29Q420,SPRINGFIELD GARDENS HS,40.66898775,-73.7576528474968,Queens
423,509,3009,32K551,NEW YORK HARBOR SCHOOL,40.6969455,-73.9121377,Brooklyn
424,510,3027,75K403,HOSPITAL SCHOOLS - BROOKLYN,Missing,Missing,Brooklyn
425,511,3051,75Q404,HOSPITAL SCHOOLS - QUEENS,Missing,Missing,Queens
426,512,3068,75X402,HOSPITAL SCHOOLS - BRONX,Missing,Missing,Bronx
427,513,3073,79K607,SUSPENSION CENTER,Missing,Missing,Brooklyn
428,514,3074,79K665,NYC VOCATIONAL TRAINING CTR,Missing,Missing,Brooklyn
429,515,3075,79K932,COMM SCH/COMPREHENSIVE ED,Missing,Missing,Brooklyn
430,516,3076,79M356,ACCESS GED-MANHATTAN,Missing,Missing,Manhattan
431,517,3077,79M510,AUXILIARY SERVICES FOR HIGH SCHOOLS,Missing,Missing,Manhattan
432,518,3078,79M595,OFFSITE EDUCATIONAL SERVICES PROGRAM OUT OF CITY,Missing,Missing,Manhattan
433,519,3079,79M612,COMMUNITY PREPARATORY HS,Missing,Missing,Manhattan
434,520,3080,79M911,THE PROGRAM FOR PREGNANT AND PARENTING SERVICES,Missing,Missing,Manhattan
435,521,3081,79Q535,THE ISLAND ACADEMY,Missing,Missing,Queens
436,522,3082,79Q565,HORIZON ACADEMY,Missing,Missing,Queens
437,523,3083,79Q591,QUEENS OFFSITE EDUC. SERVICES,Missing,Missing,Queens
438,524,3084,79Q607,SECOND OPPORTUNITY SCHOOLS,Missing,Missing,Queens
439,525,3085,79Q941,IDA B WELLS,Missing,Missing,Queens
440,526,3086,79X490,PHOENIX ACADEMY,Missing,Missing,Bronx
441,527,3087,79X591,BRONX,40.8501002,-73.8662464,Bronx
442,528,3088,79X921,MARTHA NEILSON SCH,Missing,Missing,Bronx
443,529,3089,02M972,OFFICE OF ACADEMIC POLICY,Missing,Missing,Manhattan
444,531,3109,14K583,MULTICULTURAL HIGH SCHOOL,40.7097037,-73.9447141,Brooklyn
445,532,3111,14K923,AUTOMOTIVE HIGH SCHOOL YABC,Missing,Missing,Brooklyn
446,533,3112,15K592,KHALIL GIBRAN INTERNATIONAL ACADEMY,40.6838889,-73.9802778,Brooklyn
447,534,3124,18K922,SOUTH SHORE EDUCATIONAL COMPLEX YABC,Missing,Missing,Brooklyn
448,535,3133,79K924,ACCESS GED - EAST AT SOUTH SHORE HS,Missing,Missing,Brooklyn
449,536,3134,79K926,ACCESS GED - DOWNTOWN BROOKLYN,Missing,Missing,Brooklyn
450,537,3135,79K957,OFF-SITE SUSPENSION CENTER,Missing,Missing,Brooklyn
451,538,3136,79M866,GED @ COMMUNITY PREP HS LEARNING-TO WORK,Missing,Missing,Manhattan
452,539,3137,79M973,RESTART ACADEMY,Missing,Missing,Manhattan
453,540,3138,79Q950,PATHWAYS TO GRADUATION,Missing,Missing,Queens
454,541,3139,79X950,GED PLUS - LEARNING-TO-WORK PART-TIME,Missing,Missing,Bronx
455,542,3178,20K658,FRANKLIN DELANO ROOSEVELT YABC,Missing,Missing,Brooklyn
456,543,3201,79K952,SUSPENSION CENTER SCHOOL   BEL,Missing,Missing,Brooklyn
457,544,3202,79M607,SUSPENSION CENTER SCHOOL   KEY,Missing,Missing,Manhattan
458,545,3203,79Q985,SUSPENSION CENTER SCHOOL   QUE,Missing,Missing,Queens
459,546,3204,79Q986,ADULTS AT HORIZON ACADEMY,Missing,Missing,Queens
460,547,3205,79X966,SUSPENSION CENTER SCHOOL   AYA,Missing,Missing,Bronx
461,550,3271,79Q979,ISLAND ACADEMY ADULT PROGRAM,Missing,Missing,Queens
462,551,3281,07X381,BRONX HAVEN HIGH SCHOOL,Missing,Missing,Bronx
463,552,3282,07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,Missing,Missing,Bronx
464,553,3288,13K657,DOWNTOWN BROOKLYN YABC,Missing,Missing,Brooklyn
465,554,3311,79Q344,EAST RIVER ACADEMY,Missing,Missing,Queens
466,555,3315,07X456,ALFRED E. SMITH CAMPUS YABC,Missing,Missing,Bronx
467,556,3330,17K751,ACADEMY FOR HEALTH CAREERS,Missing,Missing,Brooklyn
468,557,3332,19K501,FRANKLIN K. LANE CAMPUS YABC,Missing,Missing,Brooklyn
469,558,3341,02M343,THE PECK SLIP SCHOOL,40.70861975,-74.0018848516357,Manhattan
470,559,3342,02M527,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,Missing,Missing,Manhattan
471,560,3343,02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,Missing,Missing,Manhattan
472,561,3344,02M534,HARVEST COLLEGIATE HIGH SCHOOL,Missing,Missing,Manhattan
473,562,3345,02M546,ACADEMY FOR SOFTWARE ENGINEERING,Missing,Missing,Manhattan
474,563,3346,06M513,CASTLE BRIDGE SCHOOL,Missing,Missing,Manhattan
475,564,3347,07X557,MOTT HAVEN COMMUNITY HIGH SCHOOL,Missing,Missing,Bronx
476,565,3348,08X558,WESTCHESTER SQUARE ACADEMY,Missing,Missing,Bronx
477,566,3349,08X559,SCHOOL FOR TOURISM AND HOSPITALITY,Missing,Missing,Bronx
478,567,3350,08X561,BRONX COMPASS HIGH SCHOOL,Missing,Missing,Bronx
479,568,3351,08X562,BLUEPRINT MIDDLE SCHOOL,Missing,Missing,Bronx
480,569,3352,09X555,MOUNT EDEN CHILDREN'S ACADEMY,Missing,Missing,Bronx
481,570,3353,09X564,CLAREMONT INTERNATIONAL HS,Missing,Missing,Bronx
482,571,3354,09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,Missing,Missing,Bronx
483,572,3355,10X565,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,Missing,Missing,Bronx
484,573,3356,11X556,BRONX PARK MIDDLE SCHOOL,Missing,Missing,Bronx
485,574,3357,11X566,PELHAM GARDENS MIDDLE SCHOOL,Missing,Missing,Bronx
486,575,3358,11X567,LINDEN TREE ELEMENTARY SCHOOL,Missing,Missing,Bronx
487,576,3359,13K351,THE URBAN ASSEMBLY UNISON SCHOOL,Missing,Missing,Brooklyn
488,577,3360,14K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,Missing,Missing,Brooklyn
489,578,3361,16K681,MADIBA PREP MIDDLE SCHOOL,Missing,Missing,Brooklyn
490,579,3362,16K959,BOYS AND GIRLS YABC,Missing,Missing,Brooklyn
491,580,3363,17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,Missing,Missing,Brooklyn
492,581,3364,17K722,NEW HEIGHTS MIDDLE SCHOOL,Missing,Missing,Brooklyn
493,582,3365,17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS,Missing,Missing,Brooklyn
494,583,3366,19K404,ACADEMY FOR YOUNG WRITERS,Missing,Missing,Brooklyn
495,584,3367,19K422,SPRING CREEK COMMUNITY SCHOOL,40.65726805,-73.8740324328623,Brooklyn
496,585,3368,23K363,BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,Missing,Missing,Brooklyn
497,586,3369,23K446,RIVERDALE AVENUE COMMUNITY SCHOOL,40.6599,-73.91604,Brooklyn
498,587,3370,24Q110,P.S. 110,Missing,Missing,Queens
499,588,3371,27Q362,WAVE PREPARATORY ELEMENTARY SCHOOL,Missing,Missing,Queens
500,589,3372,31R078,P.S. 78,Missing,Missing,Staten Island
501,590,3373,32K562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,Missing,Missing,Brooklyn
502,591,3374,02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,Missing,Missing,Manhattan
503,592,3375,02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI,Missing,Missing,Manhattan
504,593,3376,02M281,THE RIVER SCHOOL,40.74447925,-73.9724007579842,Manhattan
505,594,3377,05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,Missing,Missing,Manhattan
506,595,3378,05M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,Missing,Missing,Manhattan
507,596,3379,06M103,DOS PUENTES ELEMENTARY SCHOOL,Missing,Missing,Manhattan
508,597,3380,07X259,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCC",Missing,Missing,Bronx
509,598,3381,07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,Missing,Missing,Bronx
510,599,3382,08X320,PELHAM LAB HIGH SCHOOL,Missing,Missing,Bronx
511,600,3383,08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,Missing,Missing,Bronx
512,601,3384,08X349,BRONX RIVER HIGH SCHOOL,Missing,Missing,Bronx
513,602,3385,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE,Missing,Missing,Bronx
514,603,3386,09X294,THE WALTON AVENUE SCHOOL,40.8452956,-73.9118467,Bronx
515,604,3387,09X311,LUCERO ELEMENTARY SCHOOL,Missing,Missing,Bronx
516,605,3388,09X350,NEW DIRECTIONS SECONDARY SCHOOL,Missing,Missing,Bronx
517,606,3389,09X361,THE HIGHBRIDGE GREEN SCHOOL,Missing,Missing,Bronx
518,607,3390,10X264,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),Missing,Missing,Bronx
519,608,3391,10X351,BRONX COLLABORATIVE HIGH SCHOOL,Missing,Missing,Bronx
520,609,3392,10X353,WORLD VIEW HIGH SCHOOL,Missing,Missing,Bronx
521,610,3393,11X355,BRONX ALLIANCE MIDDLE SCHOOL,Missing,Missing,Bronx
522,611,3394,11X357,YOUNG VOICES ACADEMY OF THE BRONX,Missing,Missing,Bronx
523,612,3395,12X314,FAIRMONT NEIGHBORHOOD SCHOOL,Missing,Missing,Bronx
524,613,3396,15K118,THE MAURICE SENDAK COMMUNITY SCHOOL,Missing,Missing,Brooklyn
525,614,3397,15K516,SUNSET PARK AVENUES ELEMENTARY SCHOOL,Missing,Missing,Brooklyn
526,615,3398,16K669,RESEARCH AND SERVICE HIGH SCHOOL,Missing,Missing,Brooklyn
527,616,3399,17K532,NEW BRIDGES ELEMENTARY,Missing,Missing,Brooklyn
528,617,3400,19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,Missing,Missing,Brooklyn
529,618,3401,19K654,VAN SICLEN COMMUNITY MIDDLE SCHOOL,Missing,Missing,Brooklyn
530,619,3402,19K661,VISTA ACADEMY,Missing,Missing,Brooklyn
531,620,3403,19K662,LIBERTY AVENUE MIDDLE SCHOOL,Missing,Missing,Brooklyn
532,621,3404,19K663,SCHOOL OF THE FUTURE BROOKLYN,Missing,Missing,Brooklyn
533,622,3405,22K611,ORIGINS HIGH SCHOOL,Missing,Missing,Brooklyn
534,623,3406,22K630,PROFESSIONAL PATHWAYS HIGH SCHOOL,Missing,Missing,Brooklyn
535,624,3407,23K599,BROOKLYN LANDMARK ELEMENTARY SCHOOL,Missing,Missing,Brooklyn
536,625,3408,23K664,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),Missing,Missing,Brooklyn
537,626,3409,23K668,RIVERDALE AVENUE MIDDLE SCHOOL,Missing,Missing,Brooklyn
538,627,3410,24Q211,ELM TREE ELEMENTARY SCHOOL,Missing,Missing,Queens
539,628,3411,24Q236,INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES,Missing,Missing,Queens
540,629,3412,24Q311,CORONA ARTS AND SCIENCES ACADEMY,Missing,Missing,Queens
541,630,3413,25Q240,VERITAS ACADEMY,Missing,Missing,Queens
542,631,3414,25Q241,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,Missing,Missing,Queens
543,632,3415,27Q261,VOYAGES PREP - SOUTH QUEENS,Missing,Missing,Queens
544,633,3416,27Q297,HAWTREE CREEK MIDDLE SCHOOL,Missing,Missing,Queens
545,634,3417,28Q287,THE EMERSON SCHOOL,Missing,Missing,Queens
546,635,3418,29Q243,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHT,Missing,Missing,Queens
547,636,3419,29Q289,QUEENS UNITED MIDDLE SCHOOL,Missing,Missing,Queens
548,637,3420,30Q258,ENERGY TECH HIGH SCHOOL,Missing,Missing,Queens
549,638,3421,30Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,Missing,Missing,Queens
550,639,3422,30Q329,EAST ELMHURST COMMUNITY SCHOOL,Missing,Missing,Queens
551,640,3423,31R009,NAPLES STREET ELEMENTARY SCHOOL,Missing,Missing,Staten Island
552,641,3424,31R059,THE HARBOR VIEW SCHOOL,Missing,Missing,Staten Island
553,642,3425,75Q277,THE RIVERVIEW SCHOOL,40.7439958,-73.9586344,Queens
554,643,3426,02M177,YORKVILLE EAST MIDDLE SCHOOL,Missing,Missing,Manhattan
555,644,3427,02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,Missing,Missing,Manhattan
556,645,3428,02M282,URBAN ASSEMBLY MAKER ACADEMY,Missing,Missing,Manhattan
557,646,3429,02M340,SIXTH AVENUE ELEMENTARY SCHOOL,Missing,Missing,Manhattan
558,647,3430,02M933,CITY KNOLL MIDDLE SCHOOL,Missing,Missing,Manhattan
559,648,3431,06M209,HAMILTON GRANGE MIDDLE SCHOOL,Missing,Missing,Manhattan
560,649,3432,06M211,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE,Missing,Missing,Manhattan
561,650,3433,08X392,BRONX DELTA SCHOOL,Missing,Missing,Bronx
562,651,3434,10X077,BEDFORD PARK ELEMENTARY SCHOOL,Missing,Missing,Bronx
563,652,3435,12X458,SAMARA COMMUNITY SCHOOL,Missing,Missing,Bronx
564,653,3436,16K765,NELSON MANDELA HIGH SCHOOL,Missing,Missing,Brooklyn
565,654,3437,18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,Missing,Missing,Brooklyn
566,655,3438,19K760,HIGHLAND PARK COMMUNITY SCHOOL,Missing,Missing,Brooklyn
567,656,3439,19K764,THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTH,Missing,Missing,Brooklyn
568,657,3440,24Q343,THE CHILDREN'S LAB SCHOOL,Missing,Missing,Queens
569,658,3441,26Q315,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,Missing,Missing,Queens
570,659,3442,27Q314,EPIC HIGH SCHOOL - SOUTH,Missing,Missing,Queens
571,660,3443,27Q316,QUEENS EXPLORERS ELEMENTARY SCHOOL,Missing,Missing,Queens
572,661,3444,27Q334,EPIC HIGH SCHOOL - NORTH,Missing,Missing,Queens
573,662,3445,28Q312,JAMAICA CHILDREN'S SCHOOL,Missing,Missing,Queens
574,663,3446,28Q332,REDWOOD MIDDLE SCHOOL,Missing,Missing,Queens
575,664,3447,29Q313,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORM,Missing,Missing,Queens
576,665,3448,30Q300,THE 30TH AVENUE SCHOOL (G&T CITYWIDE),Missing,Missing,Queens
577,666,3449,31R010,FORT HILL COLLABORATIVE ELEMENTARY SCHOOL,Missing,Missing,Staten Island
578,667,3450,31R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,Missing,Missing,Staten Island
579,668,3451,75X469,P469X - THE BRONX SCHOOL FOR CONTINUOUS LEARNERS,Missing,Missing,Bronx
580,669,3453,79M984,LYFE,Missing,Missing,Manhattan
581,670,3454,02M391,DISTRICT 2 PRE-K CENTER,Missing,Missing,Manhattan
582,671,3455,03M291,WEST END SECONDARY SCHOOL,Missing,Missing,Manhattan
583,672,3456,07X533,LEARNING THROUGH PLAY PRE-K CENTER,Missing,Missing,Bronx
584,673,3457,09X582,GARDEN OF LEARNING AND DISCOVERY PRE-K CENTER,Missing,Missing,Bronx
585,674,3458,10X535,ROSE HILL PRE-K CENTER,Missing,Missing,Bronx
586,675,3459,10X668,DEWITT CLINTON CAMPUS YABC,Missing,Missing,Bronx
587,676,3460,11X481,THE STEAM BRIDGE SCHOOL,Missing,Missing,Bronx
588,677,3461,11X483,THE MATILDA AVENUE SCHOOL,40.900851,-73.854878,Bronx
589,678,3462,11X534,DISTRICT 11 PRE-K CENTER,Missing,Missing,Bronx
590,679,3463,15K767,THE LITTLE BROOKLYN PRE-K CENTER,Missing,Missing,Brooklyn
591,680,3464,15K839,M.S. 839,Missing,Missing,Brooklyn
592,681,3465,15K863,PRE-K CENTER AT BISHOP FORD SCHOOL SITE,Missing,Missing,Brooklyn
593,682,3466,20K768,DISTRICT 20 PRE-K CENTER,Missing,Missing,Brooklyn
594,683,3467,21K840,BROOKLYN'S DAILY DISCOVERY PRE-K CENTER,Missing,Missing,Brooklyn
595,684,3468,22K853,THE JOAN SNOW PRE-K CENTER,Missing,Missing,Brooklyn
596,685,3469,24Q331,MOSAIC PRE-K CENTER,Missing,Missing,Queens
597,686,3470,28Q335,DISTRICT 28 PRE-K CENTER,Missing,Missing,Queens
598,687,3471,28Q349,THE QUEENS SCHOOL FOR LEADERSHIP AND EXCELLENCE,Missing,Missing,Queens
599,688,3472,28Q358,M.S. 358,40.6509177,-73.797501,Queens
600,689,3473,29Q360,P.S. 360,Missing,Missing,Queens
601,690,3474,29Q381,DISTRICT 29 PRE-K CENTER,Missing,Missing,Queens
602,691,3475,30Q361,THE WOODSIDE COMMUNITY SCHOOL,Missing,Missing,Queens
603,692,3476,30Q389,DISTRICT 30 PRE-K CENTER,Missing,Missing,Queens
604,693,3477,31R062,THE KATHLEEN GRIMM SCHOOL FOR LEADERSHIP AND SUSTA,Missing,Missing,Staten Island
605,694,3478,31R066,THE RICHMOND PRE-K CENTER,Missing,Missing,Staten Island
