School Campus,Arrested,Child in Crisis,Juvenile Report,Mitigated,PINS / Warrant,Summons,mitigated,Total
47 THE AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL(MS),,3.0,,,,1.0,,4.0
ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),,1.0,1.0,,,,,2.0
ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HS(MN) ,,1.0,,,,,,1.0
ACADEMY OF URBAN PLANNING(BN) ,,,1.0,12.0,,,1.0,14.0
ACORN COMMUNITY HS(BN) ,,2.0,1.0,3.0,,1.0,2.0,9.0
ADLAI STEVENSON HS GED(XE) ,,,,1.0,,,,1.0
ALC - August Martin HS@A. Martin HS (QS),,1.0,,1.0,,,,2.0
ALC-JAMAICA ACADEMY@ALC-Complex (Old PS 182Q - Qns),1.0,1.0,,,,,,2.0
ALC-PS 6(XW),,1.0,,,,,,1.0
ALC-RF WAGNER HS@RF WAGNER JR. (QN),1.0,,,,,2.0,,3.0
ALFRED SMITH CAREER & TECHNICAL EDUCATION HS(XW)  ,,1.0,3.0,1.0,,1.0,,6.0
ALL CITY LEADERSHIP SECONDARY SCHOOL(BN) ,,2.0,,,,,1.0,3.0
ALTERNATE LEARNING CENTER RENAISSANCE CENTER(BN),,2.0,4.0,4.0,,,,10.0
AP RANDOLPH CAMPUS HS(MN) ,3.0,7.0,2.0,3.0,,1.0,,16.0
ART & DESIGN HS @PS 59M(MS),2.0,4.0,4.0,,,,,10.0
AUGUST MARTIN HS(QS) ,3.0,10.0,,15.0,,7.0,2.0,37.0
AUTOMOTIVE HS(BN) ,1.0,1.0,,6.0,,1.0,1.0,10.0
AUXILIARY SERVICES@SAINT GEORGE DAY(SI) ,2.0,1.0,,,,,,3.0
AVIATION CAREER & TECHNICAL EDUCATION HS(QN) ,3.0,2.0,,,,,1.0,6.0
Abraham Lincoln HS(BS),5.0,4.0,2.0,2.0,1.0,2.0,3.0,19.0
Academy for College Preparation & Career Exploration(BS),,1.0,,,,,,1.0
Academy for Environmental Leadership(BN),,,1.0,2.0,,3.0,2.0,8.0
Academy for Health Careers(BN),1.0,,,,,2.0,,3.0
Academy for Personal Leadership & Excellence(XW),,,1.0,,,,,1.0
Academy for Social Action(MN),,,,,,1.0,,1.0
Academy for Software Engineering(MS),,,1.0,,,,,1.0
Academy for Young Writers(BN),,,,1.0,,,,1.0
Academy of Hospitality &Tourism(BS),,,1.0,,,,,1.0
Academy of Innovative Technology(BN),,,,4.0,,2.0,2.0,8.0
Academy of Medical Technology(QS),1.0,,,,,2.0,,3.0
Achievement First Brownsville Charter School(BN),,1.0,,,,,,1.0
Achievement First North Brooklyn Prep Charter School(BN),,1.0,,,,,,1.0
Adlai Stevenson HS(XE) ,3.0,,5.0,3.0,,6.0,1.0,18.0
Alfred E. Smith Campus YABC(XW),,,1.0,,,2.0,,3.0
Alternate Learning Center of Prospect Place(BN),,7.0,1.0,,,,2.0,10.0
Alternative Learning Center@John Jay Campus,1.0,,,,,,,1.0
Alternative Learning Center@Stevenson Campus,,,1.0,,,,,1.0
Ampark Neighborhood Program(XW),,1.0,,,,,,1.0
Andries Hudde JHS(BS),5.0,1.0,7.0,1.0,,,2.0,16.0
Antonia Pantoja Preparatory Academy(XE),1.0,,,,,,,1.0
Arts & Media Preparatory Academy(BS),,1.0,,,,,,1.0
Aspirations Diploma Plus HS(BN),2.0,3.0,,28.0,,2.0,4.0,39.0
BANANA KELLY HS(XE) ,1.0,1.0,,1.0,,1.0,,4.0
BARD HS(MS),,,,,,1.0,,1.0
BAYARD RUSTIN EDUCATIONAL COMPLEX(MS) ,,1.0,,,,,,1.0
BAYSIDE HS(QN) ,1.0,2.0,1.0,1.0,,,3.0,8.0
BEACH CHANNEL HS(QS) ,5.0,13.0,1.0,4.0,,2.0,4.0,29.0
BEDFORD STUYVESANT PREPARATORY HS(BN) ,1.0,,,1.0,,,,2.0
BELMONT PREPARATORY HS(XW),2.0,,,,,1.0,,3.0
BENJAMIN BANNEKER ACADEMY(BN),1.0,1.0,,,,,,2.0
BENJAMIN CARDOZO HS(QN) ,12.0,1.0,2.0,,,2.0,,17.0
BOYS AND GIRLS HS(BN) ,1.0,1.0,1.0,6.0,,6.0,2.0,17.0
BRANDEIS YABC(MN),1.0,1.0,,1.0,,9.0,1.0,13.0
BREAD & ROSES INTEGRATED ARTS  HS(MN) ,1.0,,1.0,,,,1.0,3.0
BRONX ACADEMY HIGH SCHOOL(XE),,,,,,1.0,,1.0
BRONX ACADEMY OF HEALTH CAREERS(XE),,,,,,3.0,,3.0
BRONX AEROSPACE HS(XE),,1.0,1.0,1.0,,1.0,,4.0
BRONX ENGINEERING & TECHNOLOGY ACADEMY(XW),1.0,,,2.0,,1.0,1.0,5.0
BRONX HS FOR THE VISUAL ARTS(XE) ,4.0,1.0,1.0,1.0,,2.0,1.0,10.0
BRONX HS FOR WRITING & COMMUNICATION ARTS(XE),1.0,,1.0,,,4.0,,6.0
BRONX HS OF BUSINESS(XW),,,,,,1.0,,1.0
BRONX HS OF SCIENCE(XW) ,3.0,1.0,2.0,2.0,,3.0,1.0,12.0
BRONX INTERNATIONAL Academy(XE) ,,,,2.0,,,,2.0
BRONX INTERNATIONAL HS(XE),1.0,,,,,,,1.0
BRONX LAB SCHOOL(XE),1.0,1.0,4.0,,,1.0,,7.0
BRONX LEADERSHIP ACADEMY II HS(XW) ,8.0,4.0,1.0,3.0,,2.0,2.0,20.0
BRONX REGIONAL HS(XE) ,1.0,4.0,2.0,,,13.0,,20.0
BRONX SCHOOL FOR LAW GOVERNMENT & JUSTICE(XW) ,1.0,,4.0,,,2.0,1.0,8.0
BRONX SCHOOL OF LAW & FINANCE(XW) ,,,,2.0,,6.0,,8.0
BRONX STUDIO SCHOOL FOR WRITERS & ARTISTS(XE) ,1.0,4.0,2.0,5.0,,2.0,,14.0
BRONX THEATRE HS(XW) ,,1.0,,,,1.0,1.0,3.0
BROOKLYN ACADEMY HS(BN) ,,1.0,,5.0,,,,6.0
BROOKLYN ACADEMY OF SCIENCE & THE ENVIRONMENT BASE(BS),,1.0,,,,,,1.0
BROOKLYN HS OF THE ARTS(BN) ,,2.0,2.0,2.0,,,1.0,7.0
BROOKLYN INTERNATIONAL HS AT WATERS EDGE(BN) ,,,,10.0,,1.0,2.0,13.0
BROOKLYN SCHOOL FOR GLOBAL STUDIES(BS) ,1.0,1.0,,,,,,2.0
BROOKLYN SCHOOL FOR MUSIC & THEATRE(BS) ,,,,,,2.0,,2.0
BROOKLYN STUDIO SECONDARY SCHOOL(BS) ,,1.0,,,,1.0,,2.0
BROOKLYN TECHNICAL HS(BN) ,,3.0,,,,2.0,1.0,6.0
BROWNSVILLE ACADEMY HS(BN) ,,1.0,,2.0,,,3.0,6.0
BUSHWICK COMMUNITY HS(BN) ,,,,3.0,,2.0,,5.0
BUSHWICK HS(BN) ,2.0,2.0,2.0,31.0,,7.0,5.0,49.0
BUSHWICK SCHOOL FOR SOCIAL JUSTICE(BN),,2.0,1.0,28.0,,12.0,5.0,48.0
Bard HS Early College II(QN),,3.0,,,,,,3.0
Battery Park City School(MS),,2.0,,,,,2.0,4.0
Baychester Middle School(XE),,1.0,,,,,1.0,2.0
Beacon High School (MS),1.0,6.0,,,,1.0,,8.0
Bell Academy(QN),,,2.0,,,,,2.0
Bronx Arena HS(XE),1.0,,,,,,,1.0
Bronx Career & College Preparatory HS(XE),,2.0,,,,,1.0,3.0
Bronx Collegiate Academy(XW)Old Bronx Expeditionary Learning HS,,,1.0,,,1.0,,2.0
Bronx Community HS(XE),,,,1.0,,,,1.0
Bronx Design & Construction Academy(XW),,,,15.0,,1.0,,16.0
Bronx Envision Academy(XE),1.0,,,,,1.0,,2.0
Bronx Global Learning Institute for Girls Charter School(XW),,1.0,,,,,,1.0
Bronx Haven HS(XW),,1.0,,,,,,1.0
Bronx Latin(XE),2.0,2.0,,,,3.0,,7.0
Bronx Leadership Academy HS(XE) ,1.0,,2.0,7.0,,,3.0,13.0
Bronx River High School (XE),1.0,1.0,,,,,,2.0
Bronx Writing Academy(XW),,,1.0,,,,,1.0
Bronxdale HS(XE),,,1.0,,,,,1.0
Bronxwood Preparatory Academy(XE),,1.0,,4.0,,,,5.0
Brooklyn Adult Learning Center(BN),,,,2.0,,,,2.0
Brooklyn Bridge Academy(BS),,,,,,,1.0,1.0
Brooklyn Brownstone School(BN),1.0,1.0,,,,,,2.0
Brooklyn College Academy(BS),,,,1.0,,,1.0,2.0
Brooklyn Collegiate(BN),1.0,,,6.0,,,1.0,8.0
Brooklyn Community HS of Communication Arts & Media(BN),1.0,,,,,,,1.0
Brooklyn East Collegiate Charter School(BN),,1.0,,,,,,1.0
Brooklyn Frontiers HS(BN),,,,,,1.0,,1.0
Brooklyn Generation School(BS),,1.0,,,,,,1.0
Brooklyn HS for Law & Technology(BN),,7.0,,2.0,,2.0,,11.0
Brooklyn Lab School(BN),,1.0,,11.0,,1.0,3.0,16.0
Brooklyn Theatre Arts HS (BS),1.0,1.0,1.0,2.0,,3.0,1.0,9.0
Bushwick Leaders HS for Academic Excellence(BN),1.0,3.0,2.0,17.0,,3.0,,26.0
Business Technology Early College High School (QS),1.0,,,,,2.0,,3.0
Business of Sports School(MS),,,,1.0,,2.0,2.0,5.0
CANARSIE HS(BS) ,6.0,1.0,2.0,,,9.0,6.0,24.0
CASCADE HS FOR TEACHING & LEARNING(MS) ,1.0,,,,1.0,,,2.0
CHANNEL VIEW SCHOOL FOR RESEARCH(QS),,2.0,1.0,1.0,,,,4.0
CHELSEA CAREER & TECHNICAL EDUCATION HS(MS) ,,,,,,2.0,,2.0
CHOIR ACADEMY OF HARLEM(MN) ,,2.0,,,,,,2.0
CHRISTOPHER COLUMBUS HS(XE) ,3.0,1.0,3.0,12.0,,1.0,2.0,22.0
CITY AS SCHOOL HS (MS),1.0,2.0,,,,,1.0,4.0
CLARA BARTON HS(BS) ,4.0,4.0,1.0,8.0,,2.0,14.0,33.0
COALITION SCHOOL FOR SOCIAL CHANGE(MN) ,,2.0,,,,,1.0,3.0
COBBLE HILL SCHOOL OF AMERICAN STUDIES(BS) ,8.0,1.0,,3.0,,3.0,6.0,21.0
COLLEGIATE INSTITUTE FOR MATH & SCIENCE(XE) ,,,1.0,,,,,1.0
COMMUNITY SCHOOL FOR SOCIAL JUSTICE(XW) ,1.0,,1.0,1.0,,1.0,,4.0
CONCORD HS(SI) ,1.0,,,1.0,,,,2.0
CSI HS FOR INTERNATIONAL STUDIES(SI) ,1.0,,,,,1.0,,2.0
CURTIS HS(SI) ,8.0,3.0,6.0,44.0,,5.0,35.0,101.0
Cambria Heights Academy(QS),,1.0,,,,,2.0,3.0
City Polytechnic HS of Engineering Architecture & Technology(BN),1.0,,,1.0,,,,2.0
Collaborative Arts Middle School(QS),1.0,2.0,1.0,3.0,,,1.0,8.0
Columbia Secondary School for Math Science & Engineering(MN),1.0,1.0,,,,,,2.0
Community Health Academy of the Heights(MN),1.0,2.0,1.0,,,,,4.0
Community Voices Middle School(QS),,,1.0,4.0,,,3.0,8.0
Coney Island Prep Elementary School(BS),,1.0,,,,,,1.0
Conselyea Preparatory School (BN),,1.0,,,,,,1.0
Cornerstone Academy for Social Action Middle School CASA(XE),,2.0,,,,,2.0,4.0
Corona Arts & Sciences Academy(QN),,1.0,1.0,,,,,2.0
Cultural Academy for the Arts & Sciences(BS),,,,,,,1.0,1.0
Cypress Hills Collegiate Preparatory School(BN),,1.0,,6.0,,,2.0,9.0
DEWITT CLINTON HS GED(XW),,1.0,,1.0,,,2.0,4.0
DEWITT CLINTON HS(XW) ,8.0,5.0,5.0,9.0,,13.0,15.0,55.0
DISCOVERY HS(XW),1.0,3.0,1.0,1.0,,2.0,1.0,9.0
DR.SUSAN MCKINNEY SECONDARY SCHOOL OF THE ARTS(BN) ,,7.0,3.0,,,,,10.0
Democracy Prep Endurance Charter School(MN),,,1.0,,,,,1.0
Dreamyard Preparatory School(XW),,,1.0,,,,,1.0
EAGLE ACADEMY FOR YOUNG MEN(XW),2.0,,,,,,,2.0
EAST BRONX ACADEMY FOR THE FUTURE(XE),2.0,2.0,1.0,6.0,,2.0,3.0,16.0
EAST SIDE COMMUNITY HS(MS) ,,,,2.0,,1.0,,3.0
EBBETTS FIELD MIDDLE SCHOOL(BS),2.0,,2.0,2.0,,,,6.0
EDWARD R MURROW HS GED(BS) ,,,,1.0,,,,1.0
EDWARD R MURROW HS(BS) ,6.0,2.0,4.0,3.0,,4.0,,19.0
EL PUENTE ACADEMY FOR PEACE & JUSTICE(BN)  ,,1.0,,,,,,1.0
EPIC High School - South (QS),,1.0,,1.0,,,,2.0
ERASMUS CAMPUS BUSINESS TEC(BS) ,3.0,3.0,2.0,2.0,,,1.0,11.0
ERASMUS HALL HS(BS) ,1.0,1.0,2.0,,,,1.0,5.0
EVANDER CHILDS EVENING HS MON & WED(XE) ,,,1.0,,,,,1.0
EVANDER CHILDS EVENING HS(XE),,,,1.0,,1.0,1.0,3.0
EVANDER CHILDS HS(XE) ,6.0,10.0,4.0,6.0,,12.0,12.0,50.0
EXCELSIOR PREPARATORY HS(QS) ,1.0,,,1.0,,,,2.0
EXIMIUS COLLEGE PREPARATORY ACADEMY(XE),2.0,1.0,1.0,3.0,,,,7.0
Eagle Academy for Young Men II(BN),1.0,2.0,,,,,,3.0
Eagle Academy for Young Men III(QS),,2.0,,6.0,,,4.0,12.0
Eagle Academy for Young Men of Harlem(MN),,,2.0,,,,,2.0
East Brooklyn Community HS(BS),,1.0,,,,,,1.0
East Flatbush Community Research School(BS),,,1.0,,,,,1.0
East Fordham Academy for the Arts(XW),,,1.0,,,,1.0,2.0
Emma Lazarus HS(MS),1.0,,,,,,,1.0
Emolior Academy(XW),,1.0,,,,,1.0,2.0
English Language Learners & International Support Preparatory Academy(XW),,,,,,,2.0,2.0
Entrada Academy(XE),,,,3.0,,,2.0,5.0
Essex Street Academy(MS) ,,2.0,,,,,,2.0
Evergreen Middle School for Urban Exploration(BN),,,1.0,,,,1.0,2.0
FANNIE LOU HAMER MIDDLE SCHOOL(XE),,1.0,1.0,,,,,2.0
FANNIE LOU HAMMER FREEDOM HS(XE) ,,1.0,,,,,,1.0
FAR ROCKAWAY HS(QS) ,11.0,1.0,1.0,7.0,,2.0,2.0,24.0
FDNY HS FOR FIRE & LIFE SAFETY(BN),,2.0,,8.0,,1.0,6.0,17.0
FELISA RINCON DE GAUTIER INSTITUTE FOR LAW & PUBLIC POLICY(XE),,,,,,1.0,3.0,4.0
FIORELLO H LAGUARDIA HS OF MUSIC ART & PERFORMING ARTS(MN),,3.0,2.0,,,2.0,1.0,8.0
FLUSHING HS(QN),6.0,,2.0,2.0,1.0,2.0,,13.0
FOREST HILLS HS(QN),8.0,2.0,2.0,3.0,,,5.0,20.0
FORT HAMILTON HS GED(BS),,1.0,,,,,,1.0
FORT HAMILTON HS(BS) ,7.0,1.0,1.0,4.0,,,2.0,15.0
FRANCIS LEWIS HS(QN) ,8.0,1.0,1.0,,,,,10.0
FRANK SINATRA SCHOOL OF THE ARTS HS(QN) ,,1.0,,,,,,1.0
FRANKLIN DELANO ROOSEVELT HS(BS) ,3.0,4.0,1.0,1.0,,1.0,,10.0
FRANKLIN K LANE HS(BN),1.0,1.0,,16.0,1.0,,5.0,24.0
FREDERICK DOUGLASS ACADEMY I(MN) ,,,3.0,,,,2.0,5.0
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL(MN) ,,,2.0,4.0,,,1.0,7.0
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL(XE) ,1.0,1.0,1.0,2.0,,2.0,,7.0
FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL(XW),,,1.0,,,,,1.0
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL(QS) ,7.0,,,,,,,7.0
FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL(BN),,1.0,,,,,1.0,2.0
FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL(BN),,6.0,,4.0,,,,10.0
FREDRICK DOUGLAS SECONDARY(MN),,,,1.0,,,,1.0
FUTURE LEADERS INSTITUTE CHARTER SCHOOL(MN),,1.0,,,,,,1.0
Frank McCourt HS(MN),,,,,,1.0,,1.0
GEORGE W. WINGATE HS GED (BS),,1.0,,,,,,1.0
GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES(Queens)(QS),,3.0,,8.0,,1.0,1.0,13.0
GEORGE WASHINGTON HS(MN),8.0,3.0,,2.0,,3.0,,16.0
GEORGE WESTINGHOUSE CAREER & TECHNICAL EDUCATION HS(BN) ,3.0,,2.0,4.0,,5.0,1.0,15.0
GEORGE WINGATE HS(BS),,1.0,2.0,,1.0,,3.0,7.0
GRACE  DODGE CAREER & TECHNICAL EDUCATION HS(XW),4.0,6.0,1.0,1.0,,1.0,,13.0
GREGORIO LUPERON HS FOR SCIENCE & MATHEMATICS(MN),2.0,1.0,,,,,,3.0
GROVER CLEVELAND HS(QN) ,1.0,15.0,,3.0,,5.0,1.0,25.0
Girls Prep. Charter Sch. of the Bx@MS 301X (XE),,1.0,,,,,,1.0
Goldie Maple Academy(QS),,,,1.0,,,,1.0
Grammercy Arts HS(MS),2.0,,,,,3.0,,5.0
Grand Street Campus(BN) ,4.0,3.0,,76.0,1.0,11.0,53.0,148.0
HARLEM RENAISSANCE HS(MN) ,4.0,,,1.0,,,,5.0
HARRY S TRUMAN HS(XE),6.0,5.0,6.0,11.0,,2.0,13.0,43.0
HARRY VAN ARSDALE HS(BN),2.0,4.0,1.0,18.0,,,7.0,32.0
HARVEY MILK HS(MS),,11.0,,,,,,11.0
HEALTH OPPORTUNITIES HS(XW) ,1.0,3.0,2.0,6.0,,8.0,1.0,21.0
HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES(MS),5.0,,,,,,,5.0
HERBERT H LEHMAN HS(XE) ,2.0,,3.0,,,8.0,,13.0
HILLCREST HS(QS),7.0,4.0,,18.0,1.0,7.0,8.0,45.0
HS FOR ARTS & BUSINESS(QN) ,1.0,,,4.0,,,2.0,7.0
HS FOR ARTS IMAGINATION & INQUIRY(MN),,,1.0,,,3.0,3.0,7.0
HS FOR CIVIL RIGHTS(BN),,,,4.0,,1.0,3.0,8.0
HS FOR CONTEMPORARY ARTS(XE),2.0,1.0,2.0,,,3.0,,8.0
HS FOR ENVIRONMENTAL STUDIES(MS) ,1.0,1.0,2.0,1.0,,9.0,5.0,19.0
HS FOR HEALTH CAREERS & SCIENCES(MN),,,1.0,,,,,1.0
HS FOR HEALTH PROFESSIONS & HUMAN SERVICES(MS),,,5.0,2.0,,6.0,,13.0
HS FOR LAW & PUBLIC SERVICE(MN),,2.0,,,,,,2.0
HS FOR LAW ADVOCACY & COMMUNITY JUSTICE(MN),,1.0,,1.0,,1.0,,3.0
HS FOR LAW ENFORCEMENT & PUBLIC SAFETY(QS),11.0,,3.0,12.0,,1.0,9.0,36.0
HS FOR MEDIA & COMMUNICATIONS(MN) ,1.0,,,,,,,1.0
HS FOR PUBLIC SERVICE HEROES OF TOMORROW(BS),,1.0,,,,,,1.0
HS FOR SERVICE & LEARNING@ERASMUS(BS),,,,1.0,,,,1.0
HS FOR TEACHING & THE PROFESSIONS(XW),,,1.0,,,1.0,,2.0
HS FOR VIOLIN & DANCE(XE) ,,,,,,,1.0,1.0
HS OF ARTS & TECHNOLOGY(MN) ,1.0,3.0,1.0,,,3.0,,8.0
HS OF COMPUTERS & TECHNOLOGY(XE) ,,,1.0,1.0,,,,2.0
