,SCHOOL CODE,SCHOOL NAME
0,M015,ps 015 roberto clemente
1,M019,ps 019 asher levy
2,M020,ps 020 anna silver
3,M034,ps 034 franklin d roosevelt
4,M063,the star academy - ps63
5,M064,ps 064 robert simon
6,M110,ps 110 florence nightingale
7,M134,ps 134 henrietta szold
8,M140,ps 140 nathan straus
9,M142,ps 142 amalia castro
10,M184,ps 184m shuang wen
11,M188,ps 188 the island school
12,M301,"technology, arts, and sciences studio"
13,M315,the east village community school
14,M332,university neighborhood middle school
15,M361,the children's workshop school
16,M363,neighborhood school
17,M364,earth school
18,M378,school for global leaders
19,M450,east side community school
20,M539,"new explorations into science, technology and math high school"
21,M839,tompkins square middle school
22,M001,ps 001 alfred e smith
23,M002,ps 002 meyer london
24,M003,ps 003 charrette school
25,M006,ps 006 lillie d blake
26,M011,ps 011 william t harris
27,M033,ps 033 chelsea prep
28,M040,ps 040 augustus saint-gaudens
29,M041,ps 041 greenwich village
30,M042,ps 042 benjamin altman
31,M051,ps 051 elias howe
32,M059,ps 059 beekman hill international
33,M077,ps 77 lower lab school
34,M089,ps 89
35,M104,jhs 104 simon baruch
36,M111,ps 111 adolph s ochs
37,M114,east side middle school
38,M116,ps 116 mary lindley murray
39,M124,ps 124 yung wing
40,M126,ps 126 jacob august riis
41,M130,ps 130 hernando de soto
42,M131,ms 131
43,M150,ps 150
44,M151,yorkville community school
45,M158,ps 158 bayard taylor
46,M167,jhs 167 robert f wagner
47,M177,yorkville east middle school
48,M183,ps 183 robert l stevenson
49,M198,ps 198 isador e ida straus
50,M212,ps 212 midtown west
51,M217,ps/is 217 roosevelt island
52,M225,ella baker school
53,M234,ps 234 independence school
54,M255,ms 255 salk school of science
55,M260,ms 260 clinton school writers & artists
56,M267,"east side elementary school, ps 267"
57,M276,battery park city school
58,M281,the river school
59,M289,is 289
60,M290,ps 290 manhattan new school
61,M297,ms 297
62,M312,new york city lab middle school for collaborative studies
63,M340,sixth avenue elementary school
64,M343,the peck slip school
65,M347,the 47 american sign language & english lower school
66,M397,spruce street school
67,M407,institute for collaborative education
68,M408,professional performing arts high school
69,M413,school of the future high school
70,M422,quest to learn
71,M442,"ballet tech, nyc public school for dance"
72,M527,ps 527 - east side school for social action
73,M655,life sciences secondary school
74,M896,lower manhattan community middle school
75,M933,city knoll middle school
76,M009,ps 009 sarah anderson
77,M054,jhs 054 booker t washington
78,M075,ps 075 emily dickinson
79,M076,ps 076 a philip randolph
80,M084,ps 084 lillian weber
81,M087,ps 087 william sherman
82,M145,"ps 145, the bloomingdale school"
83,M149,ps 149 sojourner truth
84,M163,ps 163 alfred e smith
85,M165,ps 165 robert e simon
86,M166,ps 166 the richard rodgers school of the arts and technology
87,M180,ps 180 hugo newman
88,M185,ps 185 - the early childhood discovery and design magnet school
89,M191,ps 191 amsterdam
90,M199,ps 199 jessie isador straus
91,M208,ps 208 alain l locke
92,M241,stem institute of manhattan
93,M242,ps 242 - the young diplomats magnet academy
94,M243,ms 243 center school
95,M245,ms m245 the computer school
96,M247,ms m247 dual language middle school
97,M250,ms 250 west side collaborative middle school
98,M256,ms 256 academic & athletic excellence
99,M258,community action school - ms 258
100,M291,west end secondary school of urban studies
101,M333,ps 333 manhattan school for children
102,M334,the anderson school
103,M415,wadleigh secondary school for the performing & visual arts
104,M421,west prep academy
105,M452,ps 452
106,M859,special music school
107,M860,frederick douglass academy ii secondary school
108,M862,mott hall ii
109,M007,ps 007 samuel stern
110,M012,tag young scholars
111,M037,river east elementary
112,M038,ps 38 roberto clemente
113,M050,ps 050 vito marcantonio
114,M057,james weldon johnson
115,M072,the lexington academy
116,M083,ps 083 luis munoz rivera
117,M096,ps 096 joseph lanzetta
118,M102,ps 102 jacques cartier
119,M108,ps 108 assemblyman angelo del toro educational complex
120,M112,ps 112 jose celso barbosa
121,M146,ps 146 ann m short
122,M155,ps 155 william paca
123,M171,ps 171 patrick henry
124,M182,the bilingual bicultural school
125,M206,ps 206 jose celso barbosa
126,M224,ms 224 manhattan east school for arts & academics
127,M372,esperanza preparatory academy
128,M375,mosaic preparatory academy
129,M377,renaissance school of the arts
130,M406,global technology preparatory
131,M610,young women's leadership school
132,M825,isaac newton middle school for math & science
133,M964,central park east ii
134,M030,ps 030 hernandez/hughes
135,M036,ps 036 margaret douglas
136,M046,ps 046 arthur tappan
137,M092,ps 092 mary mcleod bethune
138,M123,ps 123 mahalia jackson
139,M125,ps 125 ralph bunche
140,M129,ps 129 john h finley
141,M133,ps 133 fred r moore
142,M148,eagle academy for young men of harlem
143,M154,ps 154 harriet tubman
144,M161,ps 161 pedro albizu campos
145,M175,ps 175 henry h garnet
146,M194,ps 194 countee cullen
147,M197,ps 197 john b russwurm
148,M200,ps 200- the james mccune smith school
149,M286,is m286 renaissance leadership academy
150,M302,kappa iv
151,M318,thurgood marshall academy lower school
152,M362,columbia secondary school
153,M499,frederick douglass academy
154,M514,new design middle school
155,M517,teachers college community school
156,M670,thurgood marshall academy for learning and social change
157,M004,ps 004 duke ellington
158,M005,ps 005 ellen lurie
159,M008,ps 008 luis belliard
160,M018,ps 018 park terrace
161,M028,ps 028 wright brothers
162,M048,ps 048 po michael j buczek
163,M052,jhs 052 inwood
164,M098,ps 098 shorac kappock
165,M103,dos puentes elementary school
166,M115,ps 115 alexander humboldt
167,M128,ps 128 audubon
168,M132,ps 132 juan pablo duarte
169,M143,jhs 143 eleanor roosevelt
170,M152,ps 152 dyckman valley
171,M153,ps 153 adam clayton powell
172,M173,ps 173
173,M178,professor juan bosch public school
174,M187,ps/is 187 hudson cliffs
175,M189,ps 189
176,M192,ps 192 jacob h schiff
177,M209,hamilton grange middle school
178,M210,ps/is 210 - twenty-first century academy for community leadership
179,M218,is 218 salome urena
180,M223,the mott hall school
181,M278,paula hedbavny school
182,M293,city college academy of the arts
183,M311,amistad dual language school
184,M314,muscota
185,M319,ms 319 - maria teresa
186,M322,middle school 322
187,M324,ms 324 - patria mirabal
188,M328,ms 328 - manhattan middle school for scientific inquiry
189,M346,community health academy of the heights
190,M348,washington heights expeditionary learning school
191,M349,harbor heights
192,M366,washington heights academy
193,M368,hamilton heights school
194,M528,is 528 bea fuller rodgers school
195,X001,ps 001 courtlandt school
196,X005,ps 5 port morris
197,X018,ps 018 john peter zenger
198,X025,ps 025 bilingual school
199,X029,ps/ms 029 melrose school
200,X030,ps 030 wilton
201,X031,ps/ms 031 the william lloyd garrison
202,X043,ps 043 jonas bronck
203,X049,ps 049 willis avenue
204,X065,ps 065 mother hale academy
205,X151,jhs 151 lou gehrig
206,X154,ps 154 jonathan d hyatt
207,X157,ps 157 grove hill
208,X161,ps 161 ponce de leon
209,X179,ps 179
210,X221,south bronx preparatory: a college board school
211,X223,ms 223 the laboratory school of finance and technology
212,X224,ps / is 224
213,X277,ps 277
214,X296,south bronx academy for applied media
215,X298,academy of public relations
216,X343,academy of applied mathematics and technology
217,X359,concourse village elementary school
218,X369,young leaders elementary school
219,X500,hostos-lincoln academy of science
220,X551,the urban assembly bronx academy of letters
221,X584,is 584
222,X014,ps x014 senator john calandra
223,X036,ps 036 unionport
224,X048,ps 048 joseph r drake
225,X062,ps 062 inocensio casanova
226,X069,ps 069 journey prep school
227,X071,ps 071 rose e scala
228,X072,ps 072 dr william dorney
229,X075,ps 75 school of research and discovery
230,X093,ps 093 albert g oliver
231,X100,ps 100 isaac clason
232,X101,ms x101 edward r byrne
233,X107,ps 107
234,X119,ps 119
235,X123,jhs 123 james m kieran
236,X125,jhs 125 henry hudson
237,X130,ps 130 abram stevens hewitt
238,X131,jhs 131 albert einstein
239,X138,ps 138 samuel randall
240,X140,ps x140 the eagle school
241,X146,ps 146 edward collins
242,X152,ps 152 evergreen
243,X182,ps 182
244,X269,bronx studio school for writers and artists
245,X301,ms 301 paul l dunbar
246,X302,ms 302 luisa dessus cruz
247,X304,ps 304 early childhood school
248,X333,ps 333 - the museum school
249,X337,the school for inquiry and social justice
250,X367,"archimedes academy for math, science and technology applications"
251,X371,urban institute of mathematics
252,X375,the bronx mathematics preparatory school
253,X376,antonia pantoja preparatory academy: a college board school
254,X392,bronx delta school
255,X424,the hunts point school
256,X448,soundview academy for culture and scholarship
257,X467,mott hall community school
258,X562,blueprint middle school
259,X583,ps 583
260,X004,ps/ms 004 crotona park west
261,X011,ps 011 highbridge
262,X022,jhs 022 jordan l mott
263,X028,ps 028 mount hope
264,X035,ps 035 franz siegel
265,X042,ps 042 claremont
266,X053,ps 053 basheer quisim
267,X055,ps 055 benjamin franklin
268,X058,ps 058
269,X063,ps 063 author's academy
270,X070,ps 070 max schoenfeld
271,X073,ps 073 bronx
272,X088,ps x088 - s silverstein little sparrow school
273,X109,ps 109 sedgwick
274,X110,ps 110 theodore schoenfeld
275,X114,ps x114 - luis llorens torres schools
276,X117,is 117 joseph h wade
277,X126,ps 126 dr marjorie h dunbar
278,X128,mott hall iii
279,X132,ps 132 garret a morgan
280,X163,ps 163 arthur a schomburg
281,X170,ps 170
282,X199,ps 199x - the shakespeare school
283,X204,ps 204 morris heights
284,X215,kappa
285,X218,ps/is 218 rafael hernandez dual language magnet school
286,X219,is 219 new venture school
287,X229,is 229 roland patterson
288,X231,eagle academy for young men
289,X232,is 232
290,X236,ps 236 langston hughes
291,X241,"urban assembly school for applied math and science, the"
292,X274,the new american academy at roberto clemente state park
293,X294,the walton avenue school
294,X303,is x303 leadership & community service
295,X311,lucero elementary school
296,X313,is 313 school of leadership development
297,X323,bronx writing academy
298,X324,bronx early college academy for teaching & learning
299,X325,urban science academy
300,X327,comprehensive model school project ms 327
301,X328,new millennium business academy middle school
302,X339,is 339
303,X350,new directions secondary school
304,X361,the highbridge green school
305,X413,bronx high school for medical science
306,X443,the family school
307,X449,grant avenue elementary school
308,X454,science and technology academy: a mott hall school
309,X457,sheridan academy for young leaders
310,X505,"bronx school for law, government and justice"
311,X555,mount eden children's academy
312,X568,young women's leadership school of the bronx
313,X003,ps 3 raul julia micro society
314,X007,milton fein school
315,X008,ps 008 issac varian
316,X009,ps 9 ryer avenue elementary school
317,X015,ps x015 institute for environmental learning
318,X020,"ps/ms 20 pogeorge j werdann, iii"
319,X023,ps 023 the new children's school
320,X024,ps 024 spuyten duyvil
321,X032,ps 032 belmont
322,X033,ps 033 timothy dwight
323,X037,ps x037 - multiple intelligence school
324,X045,thomas c giordano middle school 45
325,X046,ps 046 edgar allan poe
326,X051,ps 051 bronx new school
327,X054,ps / is 54
328,X056,ps 056 norwood heights
329,X059,ps 059 the community school of technology
330,X077,bedford park elementary school
331,X080,jhs 080 the mosholu parkway
332,X081,ps 081 robert j christen
333,X085,ps 085 great expectations
334,X086,ps 086 kingsbridge heights
335,X091,ps 091 bronx
336,X094,ps 094 kings college school
337,X095,ps 095 sheila mencher
338,X118,jhs 118 william w niles
339,X141,riverdale / kingsbridge academy (middle school / high school 141)
340,X159,ps 159 luis munoz marin biling
341,X205,ps 205 fiorello laguardia
342,X206,is 206 ann mersereau
343,X207,ps 207
344,X209,ps 209
345,X225,theatre arts production company school
346,X226,ps 226
347,X228,jonas bronck academy
348,X243,west bronx academy for the future
349,X244,the new school for leadership and journalism
350,X246,ps 246 poe center
351,X254,is 254
352,X279,"ps 279 captain manuel rivera, jr"
353,X280,ps/ms 280 mosholu parkway
354,X291,ps 291
355,X306,ps 306
356,X307,luisa pineiro fuentes school of science and discovery
357,X308,bronx dance academy school
358,X310,ps 310 marble hill
359,X315,ps 315 lab school
360,X331,the bronx school of young leaders
361,X340,ps 340
362,X342,international school for liberal arts
363,X344,ampark neighborhood
364,X360,ps 360
365,X363,academy for personal leadership and excellence
366,X368,in-tech academy (ms / high school 368)
367,X382,"elementary school for math, science, and technology"
368,X386,school for environmental citizenship
369,X390,ms 390
370,X391,the angelo patri middle school
371,X396,ps 396
372,X447,creston academy
373,X459,east fordham academy for the arts
374,X016,ps 016 wakefield
375,X019,ps 019 judith k weiss
376,X021,ps 021 philip h sheridan
377,X041,ps 041 gun hill road
378,X068,ps 068 bronx
379,X076,ps 076 the bennington school
380,X078,ps 078 anne hutchinson
381,X083,ps 083 donald hertz
382,X087,ps 087 bronx
383,X089,ps 089 bronx
384,X096,ps 096 richard rodgers
385,X097,ps 097 bronx
386,X103,ps 103 hector fontanez
387,X105,ps 105 sen abraham bernstein
388,X106,ps 106 parkchester
389,X108,ps 108 philip j abinanti
390,X111,ps 111 seton falls
391,X112,ps 112 bronxwood
392,X121,ps 121 throop
393,X127,jhs 127 the castle hill
394,X144,jhs 144 michelangelo
395,X153,ps 153 helen keller
396,X160,ps 160 walt disney
397,X169,baychester academy
398,X175,ps 175 city island
399,X178,ps 178 - dr selman waksman
400,X180,ms 180 dr daniel hale williams
401,X181,is 181 pablo casals
402,X189,cornerstone academy for social action
403,X194,ps/ms 194
404,X287,the forward school
405,X326,bronx green middle school
406,X355,bronx alliance middle school
407,X357,young voices academy of the bronx
408,X370,school of diplomacy
409,X462,cornerstone academy for social action middle school (casa)
410,X468,pelham academy of academics and community engagement
411,X481,ps 481
412,X483,ps 483
413,X498,ps/ms 11x498 - van nest academy
414,X529,one world middle school at edenwald
415,X532,baychester middle school
416,X556,bronx park middle school
417,X566,pelham gardens middle school
418,X567,linden tree elementary school
419,X006,ps 006 west farms
420,X044,ps 044 david c farragut
421,X047,ps 047 john randolph
422,X057,ps 057 crescent
423,X061,ps 061 francisco oller
424,X066,ps 066 school of higher expectations
425,X067,ps 067 mohegan school
426,X092,ps 092 bronx
427,X098,jhs 098 herman ridder
428,X129,ms 129 academy for independent learning and leadership
429,X134,ps 134 george f bristow
430,X150,ps 150 charles james fox
431,X190,esmt- is 190
432,X195,ps 195
433,X196,ps 196
434,X211,ps 211
435,X212,ps 212
436,X214,ps 214
437,X217,school of performing arts
438,X242,mott hall v
439,X267,bronx latin
440,X271,east bronx academy for the future
441,X273,frederick douglass academy v middle school
442,X286,fannie lou hamer middle school
443,X300,the school of science and applied learning
444,X314,fairmont neighborhood school
445,X316,kappa iii
446,X318,"is x318 math, science & technology through arts"
447,X341,accion academy
448,X372,urban assembly school for wildlife conservation
449,X383,emolior academy
450,X384,entrada academy
451,X458,samara community school
452,X463,urban scholars community school
453,X531,archer elementary school
454,X536,ps 536
455,X691,bronx little school
456,K003,ps 003 the bedford village
457,K008,ps 008 robert fulton
458,K009,ps 009 teunis g bergen
459,K011,ps 011 purvis j behan
460,K020,ps 020 clinton hill
461,K044,ps 044 marcus garvey
462,K046,ps 046 edward c blum
463,K054,ps 054 samuel c barnes
464,K056,ps 056 lewis h latimer
465,K067,ps 067 charles a dorsey
466,K093,ps 093 william h prescott
467,K113,ms 113 ronald edmonds learning center
468,K133,ps 133 william a butler
469,K256,ps 256 benjamin banneker
470,K265,dr susan s mckinney secondary school of the arts
471,K266,ms k266 - park place community middle school
472,K270,ps 270 johann dekalb
473,K282,ps 282 park slope
474,K287,ps 287 bailey k ashford
475,K301,satellite east middle school
476,K305,ps 305 dr peter ray
477,K307,ps 307 daniel hale williams
478,K313,satellite west middle school
479,K351,the urban assembly unison school
480,K492,academy of arts and letters
481,K527,urban assembly institute of math and science for young women
482,K691,fort greene preparatory academy
483,K016,ps 016 leonard dunkly
484,K017,ps 017 henry d woodworth
485,K018,ps 018 edward bush
486,K023,ps 023 carter g woodson
487,K031,ps 031 samuel f dupont
488,K034,ps 034 oliver h perry
489,K050,jhs 050 john d wells
490,K059,ps 059 william floyd
491,K071,juan morel campos secondary school
492,K084,ps 084 jose de diego
493,K110,ps 110 the monitor
494,K120,ps 120 carlos tapia
495,K126,john ericsson middle school 126
496,K132,ps 132 the conselyea school
497,K147,ps 147 isaac remsen
498,K157,ps/is 157 the benjamin franklin health & science academy
499,K196,ps 196 ten eyck
500,K250,ps 250 george h lindsay
501,K257,ps 257 john f hylan
502,K297,ps 297 abraham stockton
503,K318,is 318 eugenio maria de hostos
504,K319,ps 319
505,K380,ps 380 john wayne elementary
506,K414,brooklyn arbor elementary school
507,K577,conselyea preparatory school
508,K582,ms 582
509,K586,lyons community school
510,K614,young women's leadership school of brooklyn
511,K001,ps 001 the bergen
512,K010,"magnet school of math, science and design technology"
513,K015,ps 015 patrick f daly
514,K024,ps 024
515,K029,ps 029 john m harrigan
516,K032,ps 032 samuel mills sprole
517,K038,ps 038 the pacific
518,K039,ps 039 henry bristow
519,K051,ms 51 william alexander
520,K058,ps 058 the carroll
521,K088,jhs 088 peter rouget
522,K094,ps 094 the henry longfellow
523,K107,ps 107 john w kimball
524,K118,the maurice sendak community school
525,K124,ps 124 silas b dutcher
526,K130,ps 130 the parkside
527,K131,ps 131 brooklyn
528,K136,is 136 charles o dewey
529,K146,ps 146
530,K154,the windsor terrace school
531,K169,ps 169 sunset park
532,K172,ps 172 beacon school of excellence
533,K230,ps 230 doris l cohen
534,K261,ps 261 philip livingston
535,K295,ps 295
536,K321,ps 321 william penn
537,K418,the childrens school
538,K442,ms 442 carroll gardens school for innovation
539,K443,new voices school of academic & creative arts
540,K447,the math & science exploratory school
541,K448,brooklyn secondary school for collaborative studies
542,K464,park slope collegiate
543,K497,school for international studies
544,K516,sunset park avenues elementary school
545,K676,red hook neighborhood school
546,K821,sunset park prep
547,K839,ms 839
548,K005,ps 005 dr ronald mcnair
549,K021,ps 021 crispus attucks
550,K025,ps 025 eubie blake school
551,K026,ps 026 jesse owens
552,K028,ps 028 the warren prep academy
553,K035,ms 035 stephen decatur
554,K040,ps 040 george w carver
555,K057,jhs 057 whitelaw reid
556,K081,ps 081 thaddeus stevens
557,K243,ps 243k- the weeksville school
558,K262,ps 262 el hajj malik el shabazz elementary school
559,K267,"ms 267 math, science & technology"
560,K308,ps 308 clara cardwell
561,K309,ps 309 the george e wibecan preparatory academy
562,K335,ps 335 granville t woods
563,K627,brighter choice community school
564,K628,brooklyn brownstone school
565,K681,madiba prep middle school
566,K002,parkside preparatory academy
567,K006,ps 006
568,K012,dr jacqueline peek-davis school
569,K061,ms 061 dr gladstone h atwell
570,K091,ps 091 the albany avenue school
571,K092,ps 092 adrian hegeman
572,K138,ps 138 brooklyn
573,K161,ps 161 the crown
574,K181,ps 181 brooklyn
575,K189,ps 189 the bilingual center
576,K191,ps 191 paul robeson
577,K221,ps 221 toussaint l'ouverture
578,K241,ps 241 emma l johnston
579,K246,ms 246 walt whitman
580,K249,ps 249 the caton
581,K289,ps 289 george v brower
582,K316,ps 316 elijah stroud
583,K340,is 340
584,K352,ebbets field middle school
585,K353,elijah stroud middle school
586,K354,the school of integrated learning
587,K375,ps 375 jackie robinson school
588,K382,academy for college preparation and career exploration: a college board school
589,K394,ms k394
590,K397,ps 397 foster-laurie
591,K398,ps 398 walter weaver
592,K399,ps 399 stanley eugene clark
