,index,MasterIndex,DBN,SCHNAM,Latitude,Longitude
276,284,1264,29Q700,D29-CBO SCHOOL,,
277,285,1265,30Q700,D30-CBO SCHOOL,,
278,286,1267,31R700,D31-CBO SCHOOL,,
279,287,1268,32K700,D32-CBO SCHOOL,,
280,288,1269,76K641,HARRY VAN ARSDALE GED,,
281,289,1270,79Q565,HORIZONS HIGH SCHOOL,,
282,290,1271,79X695,PASSAGES ACADEMY,,
283,291,1274,01M700,,,
284,293,1282,03M244,THE COLUMBUS MIDDLE SCHOOL,,
285,294,1284,03M246,THE CROSSROADS SCHOOL,,
286,295,1286,03M248,HORIZONS MIDDLE SCHOOL,,
287,300,1300,07X220,MOTT HAVEN VILLAGE SCHOOL,,
288,301,1301,07X222,MIDDLE SCHOOL 222,,
289,305,1320,10X399,MS 399,,
290,307,1323,11X417,C COLUMBUS YABC,,
291,315,1332,16K143,PERFORMING & FINE ARTS SCHOOL,,
292,334,1359,71M457,YOUNG ADULT BOROUGH CENTER,,
293,335,1360,73K597,BROOKLYN ACADEMY CONTINUIUM,,
294,336,1361,76K472,WILLIAMSBURG PREPARATORY ACAD,,
295,337,1362,79M647,PARK EAST/YOUNG ADULTS BORO CN,,
296,338,1363,85K005,PS 005,,
297,339,1364,85K035,DECATUR CLEARPOOL - PS/IS #35,,
298,340,1365,85K075,MAYDA CORTIELLA SCHOOL,,
299,341,1366,85K092,ADRIAN HEGEMAN PS92,,
300,342,1367,85K243,WEEKSVILLE SCHOOL - P.S. 243,,
301,343,1368,85K320,JACKIE ROBINSON  - M.S. #320,,
302,344,1369,85K324,SARAH GARNETT - JHS #324,,
303,346,1371,85M064,ROBERT SIMON,,
304,347,1372,85M096,JOSEPH C. LANZETTA,,
305,348,1373,85Q105,THE BAY SCHOOL,,
306,349,1374,85X003,PS 3,,
307,350,1375,85X052,LUISA DESSUS CRUZ SCHOOL,,
308,351,1376,85X059,THE COMMUNITY SCHOOL PS59,,
309,352,1377,85X082,ALEXANDER MACOMBS CIS82,,
310,353,1378,85X085,PS 85,,
311,354,1379,85X091,PS 91,,
312,356,1387,08X201,"THEATER, ARTS & RESEARCH(STAR)",,
313,357,1392,21K526,EDWARD R. MURROW GED,,
314,358,1394,28Q347,SCHOOL OF COMMUNICATION STUDIE,,
315,359,1398,74M415,WADLEIGH SECONDARY SCHOOL,,
316,361,1401,79Q572,EIGHT PLUS LEARNING ACADEMIES,,
317,363,1409,03M577,BRANDEIS YABC,,
318,364,1412,05M172,I.S. #172,,
319,365,1421,15K378,THE CARROLL GARDENS SCHOOL,,
320,366,1422,15K496,THE SCHOOL FOR INTERNATIONAL S,,
321,367,1430,30Q520,MIDDLE COLLEGE HIGH SCHOOL,,
322,368,1431,30Q530,THE INTERNATIONAL HIGH SCHOOL,,
323,369,1432,31R607,STATEN ISLAND YABC,,
324,370,1435,33K462,"SECONDARY SCHOOL FOR LAW, JOUR",,
325,371,1436,71M539,NEST+M,,
326,377,1443,85M088,WADLEIGH SECONDARY SCHOOL MS88,,
327,378,1444,85X183,PAUL ROBESON IS183,,
328,382,1474,12X191,SCHOOL TO WORK ACADEMY I.S. 19,,
329,383,1475,12X216,BUSINESS SCHOOL FOR ENTREPENEU,,
330,386,1482,23K696,TEACHERS PREPARATORY SCHOOL,,
331,387,1489,73K697,TEACHERS PREPARATORY HS,,
332,390,1492,79M612,COMMUNITY PREPARATORY HIGH SCH,,
333,391,1493,79Q607,SECOND OPPORTUNITY SCHOOL (QUE,,
334,392,1494,01M545,DUAL LANG.& ASIAN STUDIES HS,,
335,395,1510,08X039,PS 39,,
336,397,1554,32K551,THE HARBOR H.S.,,
337,398,1558,79Q540,QUEENS ACADEMY HIGH SCHOOL,,
338,399,1573,03M861,FUTURE LEADERS INSTITUTE,,
339,400,1577,04M277,MANHATTAN WEST ART INSTITUTE,,
340,403,1586,05M317,KAPPA II,,
341,404,1592,06M321,MS 321 - MARIA TERESA,,
342,407,1609,08X507,STEVENSON YABC,,
343,408,1610,08X516,HIGH SCHOOL PROGRAM FOR INTERI,,
344,409,1611,08X518,HIGH SCHOOL PROGRAM FOR DOCUME,,
345,411,1629,10X503,WALTON YABC,,
346,412,1630,10X504,KENNEDY YABC,,
347,413,1631,10X512,INDIVIDUAL PATHWAYS,,
348,414,1634,11X262,THE BRONX HIGH SCHOOL OF PERFO,,
349,415,1636,11X271,EAST BRONX ACADEMY FOR THE FUT,,
350,417,1652,13K488,BROOKLYN PREPARATORY HIGH SCHO,,
351,426,1712,02M473,WASHINGTON IRVING YABC,,
352,427,1723,06M457,GEORGE WASHINGTON YABC,,
353,428,1728,08X408,HERBERT H. LEHMAN YABC,,
354,431,1743,10X667,GRACE DODGE YABC,,
355,432,1751,12X270,ACADEMY FOR SCHOLARSHIP AND EN,,
356,437,1765,16K322,FOUNDATIONS ACADEMY,,
357,438,1771,17K467,ERASMUS YABC,,
358,439,1772,19K431,THOMAS JEFFERSON YABC,,
359,440,1775,21K411,ABRAHAM LINCOLN YABC,,
360,442,1781,25Q467,FLUSHING YABC,,
361,443,1782,27Q198,JHS 198 BENJAMIN N CARDOZO,,
362,444,1784,27Q487,JOHN ADAMS YABC,,
363,446,1890,02M690,SCHOOL FOR THE PHYSICAL CITY HIGH SCHOOL,,
364,447,1893,03M044,J.H.S. M044 WILLIAM J. O'SHEA,,
365,448,1913,03M246,M.S. M246 CROSSROADS SCHOOL,,
366,449,1939,04M101,P.S. 101 ANDREW DRAPER,,
367,450,1943,04M117,TITO PUENTE EDUCATION COMPLEX,,
368,451,1950,04M277,MANHATTAN INSTITUTE FOR ACADEMIC & VISUAL ARTS,,
369,452,1967,05M172,POWELL M.S. FOR LAW & SOCIAL JUSTICE,,
370,453,1975,05M344,ACADEMY OF COLLABORATIVE EDUCATION,,
371,454,2001,06M287,M.S. 287 HUDSON CLIFFS,,
372,455,2004,06M321,M.S. 321 - MINERVA,,
373,456,2031,07X156,P.S. 156 BENJAMIN BANNEKER,,
374,457,2036,07X184,I S 184 RAFAEL C Y MOLINA,,
375,458,2038,07X220,P.S. 220 MOTT HAVEN VILLAGE SCHOOL,,
376,459,2043,07X336,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,,
377,460,2076,08X174,I.S. 174 EUGENE T. MALESKA,,
378,461,2078,08X192,I.S. 192 PIAGENTINI-JONES,,
379,462,2079,08X201,M.S. X201,,
380,463,2090,08X334,INTERNATIONAL COMMUNITY HIGH S,,
381,464,2098,08X686,NEW SCHOOL FOR ARTS AND SCIENCE,,
382,465,2114,09X090,P.S. 090 GEORGE MEANY,,
383,466,2124,09X166,J.H.S. 166 ROBERTO CLEMENTE,,
384,467,2166,10X079,P.S. 079 CRESTON,,
385,470,2209,10X399,M.S. 399,,
386,471,2216,10X476,JOHN F KENNEDY HS GED,,
387,472,2240,11X113,JHS 113 RICHARD R. GREEN,,
388,473,2243,11X135,J.H.S. 135 FRANK D. WHALEN,,
389,474,2264,11X416,C COLUMBUS HS GED,,
390,475,2265,11X417,C COLUMBUS HS YABC,,
391,476,2268,11X456,LEARNING TO WORK YABC AT TRUMA,,
392,477,2289,12X158,I S 158 THEODORE GATHINGS,,
393,478,2293,12X197,P.S. 197,,
394,479,2298,12X216,BUSINESS SCHOOL FOR ENTREPRENEURIAL STUDIES,,
395,481,2307,12X428,LEARNING TO WORK YABC AT MONROE ACADEMY,,
396,482,2308,12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,,
397,483,2324,13K117,J.H.S. 117 FRANCIS SCOTT KEY,,
398,484,2327,13K258,J.H.S. 258 DAVID RUGGLES,,
399,485,2353,14K033,JHS 033 MARK HOPKINS,,
400,486,2355,14K049,J.H.S. 049 WILLIAM J. GAYNOR,,
401,487,2388,15K027,AGNES Y. HUMPHREY SCHOOL FOR LEADERSHIP,,
402,488,2432,16K143,M.S. 143 PERFORMING & FINE ARTS,,
403,489,2436,16K304,P.S. 304 CASIMIR PULASKI,,
404,490,2469,17K390,M S 390 MAGGIE L. WALKER,,
405,491,2475,17K469,ERASMUS CAMPUS - HUMANITIES,,
406,492,2476,17K479,ERASMUS CAMPUS - BUSINESS/TEC,,
407,493,2499,18K232,I.S. 232 THE WINTHROP,,
408,494,2503,18K252,I.S. 252 ARTHUR S. SOMERS,,
409,495,2509,18K501,LEARNING TO WORK YABC AT CANAR,,
410,496,2513,19K072,P.S./I.S. 072 ANNETTE P GOLDMAN,,
411,497,2609,21K412,LEARNING TO WORK GED AT ABRAHAM LINCOLN,,
412,498,2646,22K585,BROOKLYN COMPREHENSIVE NIGHT HIGH SCHOOL,,
413,499,2648,23K055,I.S. 055 OCEAN HILL BROWNSVILLE,,
414,500,2656,23K183,P.S. 183 DANIEL CHAPPIE JAMES,,
415,501,2658,23K271,I.S. 271 JOHN M. COLEMAN,,
416,502,2668,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY & LAW,,
417,503,2702,24Q457,H.S. ARTS & BUSINESS YABC,,
418,504,2726,25Q168,JHS 168 THE PARSONS,,
419,505,2808,27Q225,P.S. 225 SEASIDE,,
420,506,2815,27Q279,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,,
421,507,2819,27Q481,LEARNING TO WORK GED AT JOHN ADAMS HIGH SCHOOL,,
422,508,2890,29Q420,SPRINGFIELD GARDENS HS,,
423,509,3009,32K551,NEW YORK HARBOR SCHOOL,,
424,510,3027,75K403,HOSPITAL SCHOOLS - BROOKLYN,,
425,511,3051,75Q404,HOSPITAL SCHOOLS - QUEENS,,
426,512,3068,75X402,HOSPITAL SCHOOLS - BRONX,,
427,513,3073,79K607,SUSPENSION CENTER,,
428,514,3074,79K665,NYC VOCATIONAL TRAINING CTR,,
429,515,3075,79K932,COMM SCH/COMPREHENSIVE ED,,
430,516,3076,79M356,ACCESS GED-MANHATTAN,,
431,517,3077,79M510,AUXILIARY SERVICES FOR HIGH SCHOOLS,,
432,518,3078,79M595,OFFSITE EDUCATIONAL SERVICES PROGRAM OUT OF CITY,,
433,519,3079,79M612,COMMUNITY PREPARATORY HS,,
434,520,3080,79M911,THE PROGRAM FOR PREGNANT AND PARENTING SERVICES,,
435,521,3081,79Q535,THE ISLAND ACADEMY,,
436,522,3082,79Q565,HORIZON ACADEMY,,
437,523,3083,79Q591,QUEENS OFFSITE EDUC. SERVICES,,
438,524,3084,79Q607,SECOND OPPORTUNITY SCHOOLS,,
439,525,3085,79Q941,IDA B WELLS,,
440,526,3086,79X490,PHOENIX ACADEMY,,
441,527,3087,79X591,BRONX,,
442,528,3088,79X921,MARTHA NEILSON SCH,,
443,529,3089,02M972,OFFICE OF ACADEMIC POLICY,,
444,531,3109,14K583,MULTICULTURAL HIGH SCHOOL,,
445,532,3111,14K923,AUTOMOTIVE HIGH SCHOOL YABC,,
446,533,3112,15K592,KHALIL GIBRAN INTERNATIONAL ACADEMY,,
447,534,3124,18K922,SOUTH SHORE EDUCATIONAL COMPLEX YABC,,
448,535,3133,79K924,ACCESS GED - EAST AT SOUTH SHORE HS,,
449,536,3134,79K926,ACCESS GED - DOWNTOWN BROOKLYN,,
450,537,3135,79K957,OFF-SITE SUSPENSION CENTER,,
451,538,3136,79M866,GED @ COMMUNITY PREP HS LEARNING-TO WORK,,
452,539,3137,79M973,RESTART ACADEMY,,
453,540,3138,79Q950,PATHWAYS TO GRADUATION,,
454,541,3139,79X950,GED PLUS - LEARNING-TO-WORK PART-TIME,,
455,542,3178,20K658,FRANKLIN DELANO ROOSEVELT YABC,,
456,543,3201,79K952,SUSPENSION CENTER SCHOOL   BEL,,
457,544,3202,79M607,SUSPENSION CENTER SCHOOL   KEY,,
458,545,3203,79Q985,SUSPENSION CENTER SCHOOL   QUE,,
459,546,3204,79Q986,ADULTS AT HORIZON ACADEMY,,
460,547,3205,79X966,SUSPENSION CENTER SCHOOL   AYA,,
461,550,3271,79Q979,ISLAND ACADEMY ADULT PROGRAM,,
462,551,3281,07X381,BRONX HAVEN HIGH SCHOOL,,
463,552,3282,07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,,
464,553,3288,13K657,DOWNTOWN BROOKLYN YABC,,
465,554,3311,79Q344,EAST RIVER ACADEMY,,
466,555,3315,07X456,ALFRED E. SMITH CAMPUS YABC,,
467,556,3330,17K751,ACADEMY FOR HEALTH CAREERS,,
468,557,3332,19K501,FRANKLIN K. LANE CAMPUS YABC,,
469,558,3341,02M343,THE PECK SLIP SCHOOL,,
470,559,3342,02M527,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,,
471,560,3343,02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,,
472,561,3344,02M534,HARVEST COLLEGIATE HIGH SCHOOL,,
473,562,3345,02M546,ACADEMY FOR SOFTWARE ENGINEERING,,
474,563,3346,06M513,CASTLE BRIDGE SCHOOL,,
475,564,3347,07X557,MOTT HAVEN COMMUNITY HIGH SCHOOL,,
476,565,3348,08X558,WESTCHESTER SQUARE ACADEMY,,
477,566,3349,08X559,SCHOOL FOR TOURISM AND HOSPITALITY,,
478,567,3350,08X561,BRONX COMPASS HIGH SCHOOL,,
479,568,3351,08X562,BLUEPRINT MIDDLE SCHOOL,,
480,569,3352,09X555,MOUNT EDEN CHILDREN'S ACADEMY,,
481,570,3353,09X564,CLAREMONT INTERNATIONAL HS,,
482,571,3354,09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,,
483,572,3355,10X565,HIGH SCHOOL FOR ENERGY AND TECHNOLOGY,,
484,573,3356,11X556,BRONX PARK MIDDLE SCHOOL,,
485,574,3357,11X566,PELHAM GARDENS MIDDLE SCHOOL,,
486,575,3358,11X567,LINDEN TREE ELEMENTARY SCHOOL,,
487,576,3359,13K351,THE URBAN ASSEMBLY UNISON SCHOOL,,
488,577,3360,14K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,,
489,578,3361,16K681,MADIBA PREP MIDDLE SCHOOL,,
490,579,3362,16K959,BOYS AND GIRLS YABC,,
491,580,3363,17K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,,
492,581,3364,17K722,NEW HEIGHTS MIDDLE SCHOOL,,
493,582,3365,17K745,BROOKLYN INSTITUTE FOR LIBERAL ARTS,,
494,583,3366,19K404,ACADEMY FOR YOUNG WRITERS,,
495,584,3367,19K422,SPRING CREEK COMMUNITY SCHOOL,,
496,585,3368,23K363,BROWNSVILLE COLLABORATIVE MIDDLE SCHOOL,,
497,586,3369,23K446,RIVERDALE AVENUE COMMUNITY SCHOOL,,
498,587,3370,24Q110,P.S. 110,,
499,588,3371,27Q362,WAVE PREPARATORY ELEMENTARY SCHOOL,,
500,589,3372,31R078,P.S. 78,,
501,590,3373,32K562,EVERGREEN MIDDLE SCHOOL FOR URBAN EXPLORATION,,
502,591,3374,02M135,THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,,
503,592,3375,02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HI,,
504,593,3376,02M281,THE RIVER SCHOOL,,
505,594,3377,05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,,
506,595,3378,05M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,,
507,596,3379,06M103,DOS PUENTES ELEMENTARY SCHOOL,,
508,597,3380,07X259,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCC",,
509,598,3381,07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,,
510,599,3382,08X320,PELHAM LAB HIGH SCHOOL,,
511,600,3383,08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL,,
512,601,3384,08X349,BRONX RIVER HIGH SCHOOL,,
513,602,3385,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE,,
514,603,3386,09X294,THE WALTON AVENUE SCHOOL,,
515,604,3387,09X311,LUCERO ELEMENTARY SCHOOL,,
516,605,3388,09X350,NEW DIRECTIONS SECONDARY SCHOOL,,
517,606,3389,09X361,THE HIGHBRIDGE GREEN SCHOOL,,
518,607,3390,10X264,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),,
519,608,3391,10X351,BRONX COLLABORATIVE HIGH SCHOOL,,
520,609,3392,10X353,WORLD VIEW HIGH SCHOOL,,
521,610,3393,11X355,BRONX ALLIANCE MIDDLE SCHOOL,,
522,611,3394,11X357,YOUNG VOICES ACADEMY OF THE BRONX,,
523,612,3395,12X314,FAIRMONT NEIGHBORHOOD SCHOOL,,
524,613,3396,15K118,THE MAURICE SENDAK COMMUNITY SCHOOL,,
525,614,3397,15K516,SUNSET PARK AVENUES ELEMENTARY SCHOOL,,
526,615,3398,16K669,RESEARCH AND SERVICE HIGH SCHOOL,,
527,616,3399,17K532,NEW BRIDGES ELEMENTARY,,
528,617,3400,19K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,,
529,618,3401,19K654,VAN SICLEN COMMUNITY MIDDLE SCHOOL,,
530,619,3402,19K661,VISTA ACADEMY,,
531,620,3403,19K662,LIBERTY AVENUE MIDDLE SCHOOL,,
532,621,3404,19K663,SCHOOL OF THE FUTURE BROOKLYN,,
533,622,3405,22K611,ORIGINS HIGH SCHOOL,,
534,623,3406,22K630,PROFESSIONAL PATHWAYS HIGH SCHOOL,,
535,624,3407,23K599,BROOKLYN LANDMARK ELEMENTARY SCHOOL,,
536,625,3408,23K664,BROOKLYN ENVIRONMENTAL EXPLORATION SCHOOL (BEES),,
537,626,3409,23K668,RIVERDALE AVENUE MIDDLE SCHOOL,,
538,627,3410,24Q211,ELM TREE ELEMENTARY SCHOOL,,
539,628,3411,24Q236,INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES,,
540,629,3412,24Q311,CORONA ARTS AND SCIENCES ACADEMY,,
541,630,3413,25Q240,VERITAS ACADEMY,,
542,631,3414,25Q241,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,,
543,632,3415,27Q261,VOYAGES PREP - SOUTH QUEENS,,
544,633,3416,27Q297,HAWTREE CREEK MIDDLE SCHOOL,,
545,634,3417,28Q287,THE EMERSON SCHOOL,,
546,635,3418,29Q243,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHT,,
547,636,3419,29Q289,QUEENS UNITED MIDDLE SCHOOL,,
548,637,3420,30Q258,ENERGY TECH HIGH SCHOOL,,
549,638,3421,30Q291,HUNTERS POINT COMMUNITY MIDDLE SCHOOL,,
550,639,3422,30Q329,EAST ELMHURST COMMUNITY SCHOOL,,
551,640,3423,31R009,NAPLES STREET ELEMENTARY SCHOOL,,
552,641,3424,31R059,THE HARBOR VIEW SCHOOL,,
553,642,3425,75Q277,THE RIVERVIEW SCHOOL,,
554,643,3426,02M177,YORKVILLE EAST MIDDLE SCHOOL,,
555,644,3427,02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,,
556,645,3428,02M282,URBAN ASSEMBLY MAKER ACADEMY,,
557,646,3429,02M340,SIXTH AVENUE ELEMENTARY SCHOOL,,
558,647,3430,02M933,CITY KNOLL MIDDLE SCHOOL,,
559,648,3431,06M209,HAMILTON GRANGE MIDDLE SCHOOL,,
560,649,3432,06M211,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TE,,
561,650,3433,08X392,BRONX DELTA SCHOOL,,
562,651,3434,10X077,BEDFORD PARK ELEMENTARY SCHOOL,,
563,652,3435,12X458,SAMARA COMMUNITY SCHOOL,,
564,653,3436,16K765,NELSON MANDELA HIGH SCHOOL,,
565,654,3437,18K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,,
566,655,3438,19K760,HIGHLAND PARK COMMUNITY SCHOOL,,
567,656,3439,19K764,THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTH,,
568,657,3440,24Q343,THE CHILDREN'S LAB SCHOOL,,
569,658,3441,26Q315,BUSINESS TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,,
570,659,3442,27Q314,EPIC HIGH SCHOOL - SOUTH,,
571,660,3443,27Q316,QUEENS EXPLORERS ELEMENTARY SCHOOL,,
572,661,3444,27Q334,EPIC HIGH SCHOOL - NORTH,,
573,662,3445,28Q312,JAMAICA CHILDREN'S SCHOOL,,
574,663,3446,28Q332,REDWOOD MIDDLE SCHOOL,,
575,664,3447,29Q313,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORM,,
576,665,3448,30Q300,THE 30TH AVENUE SCHOOL (G&T CITYWIDE),,
577,666,3449,31R010,FORT HILL COLLABORATIVE ELEMENTARY SCHOOL,,
578,667,3450,31R028,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,,
579,668,3451,75X469,P469X - THE BRONX SCHOOL FOR CONTINUOUS LEARNERS,,
580,669,3453,79M984,LYFE,,
581,670,3454,02M391,DISTRICT 2 PRE-K CENTER,,
582,671,3455,03M291,WEST END SECONDARY SCHOOL,,
583,672,3456,07X533,LEARNING THROUGH PLAY PRE-K CENTER,,
584,673,3457,09X582,GARDEN OF LEARNING AND DISCOVERY PRE-K CENTER,,
585,674,3458,10X535,ROSE HILL PRE-K CENTER,,
586,675,3459,10X668,DEWITT CLINTON CAMPUS YABC,,
587,676,3460,11X481,THE STEAM BRIDGE SCHOOL,,
588,677,3461,11X483,THE MATILDA AVENUE SCHOOL,,
589,678,3462,11X534,DISTRICT 11 PRE-K CENTER,,
590,679,3463,15K767,THE LITTLE BROOKLYN PRE-K CENTER,,
591,680,3464,15K839,M.S. 839,,
592,681,3465,15K863,PRE-K CENTER AT BISHOP FORD SCHOOL SITE,,
593,682,3466,20K768,DISTRICT 20 PRE-K CENTER,,
594,683,3467,21K840,BROOKLYN'S DAILY DISCOVERY PRE-K CENTER,,
595,684,3468,22K853,THE JOAN SNOW PRE-K CENTER,,
596,685,3469,24Q331,MOSAIC PRE-K CENTER,,
597,686,3470,28Q335,DISTRICT 28 PRE-K CENTER,,
598,687,3471,28Q349,THE QUEENS SCHOOL FOR LEADERSHIP AND EXCELLENCE,,
599,688,3472,28Q358,M.S. 358,,
600,689,3473,29Q360,P.S. 360,,
601,690,3474,29Q381,DISTRICT 29 PRE-K CENTER,,
602,691,3475,30Q361,THE WOODSIDE COMMUNITY SCHOOL,,
603,692,3476,30Q389,DISTRICT 30 PRE-K CENTER,,
604,693,3477,31R062,THE KATHLEEN GRIMM SCHOOL FOR LEADERSHIP AND SUSTA,,
605,694,3478,31R066,THE RICHMOND PRE-K CENTER,,
